id,name,type,description,price,image_url,created_at,updated_at,estimated_duration_minutes,is_active_service,item_category,not_sold_separately
rev-30,NUNAVUT GARDINER 疏水性鍍膜,REVENUE,"疏水性鍍膜, 提升車漆光澤, 提供基礎防護 | Hydrophobic coating, enhances paint gloss, provides basic protection",1580,,4/5/2026 19:15,4/27/2026 3:34,250,TRUE,鍍膜 Film/Coating,FALSE
rev-31,NUNAVUT GYEON 疏水性鍍膜,REVENUE,"疏水性鍍膜, 旗艦級抗污疏水, 長效保持漆面平滑 | Hydrophobic coating, flagship anti-fouling, long-lasting smooth surface",2180,,4/5/2026 19:15,4/27/2026 3:34,250,TRUE,鍍膜 Film/Coating,FALSE
rev-32,NUNAVUT GYEON 水晶鍍膜 Class H,REVENUE,"水晶鍍膜 Class H, 雙層陶瓷保護層, 極致硬度與抗酸鹼能力 | Crystal Coating Class H, double-layer ceramic protection, extreme hardness and acid/alkali resistance",2180,,4/5/2026 19:15,4/27/2026 3:34,350,TRUE,鍍膜 Film/Coating,FALSE
rev-33,NUNAVUT KochChemie 水晶鍍膜 Class H,REVENUE,"水晶鍍膜 Class H, 德國工業級陶瓷保護, 卓越耐候性與硬度 | Crystal Coating Class H, German industrial-grade ceramic protection, superior weather resistance and hardness",3180,,4/5/2026 19:15,4/27/2026 3:34,350,TRUE,鍍膜 Film/Coating,FALSE
rev-34,GARDINER Care+ 一年延長保養計劃,REVENUE,"一年延長保養計劃, 鍍膜/鍍晶產品可加購以享受一年無限次鍍膜保養/添加服務 | One-year extended maintenance plan, add-on for coating products for unlimited maintenance for one year",88,,4/5/2026 18:15,4/27/2026 3:34,0,TRUE,疊加保養 Add-Ons,FALSE
rev-35,CLAIM GARDINER Care+ 一年延長保養計劃,REVENUE,"Care+ 服務使用費, 每次維護需加收的服務費 | Care+ service claim fee, service fee charged per maintenance visit",30,,4/5/2026 17:15,4/27/2026 3:34,0,TRUE,疊加保養 Add-Ons,FALSE
rev-36,ETOBICOKE GARDINER 全車基礎打蠟,REVENUE,"工業級車蠟深層滲透，修復細紋氧化, 秒速重現鏡面光澤 | Industrial grade wax deep penetration, repairs fine lines and oxidation, restores mirror gloss instantly",388,,4/5/2026 16:15,4/27/2026 3:34,135,TRUE,疊加保養 Add-Ons,FALSE
rev-37,ETOBICOKE GARDINER 全車拋光打蠟,REVENUE,"專業機械拋光處理，深度去除漆面頑固污漬與氧化層，配合高品質車蠟鎖色增艷 | Professional machine polishing, deep removal of stubborn stains and oxidation layers, combined with high-quality wax to lock color and brighten",688,,4/5/2026 15:15,4/27/2026 3:34,150,TRUE,疊加保養 Add-Ons,FALSE
rev-38,ESPLANADE GARDINER 內籠霧化消毒除臭,REVENUE,"內籠霧化消毒除臭, 去除車內異味及細菌, 淨化車內空氣 | Interior atomized disinfection and deodorization, removes odors and bacteria, purifies cabin air",108,,4/5/2026 15:15,4/27/2026 3:34,38,TRUE,疊加保養 Add-Ons,TRUE
rev-39,WOODBINE GARDINER 大燈翻新,REVENUE,"修復老化發黃大燈, 提高透光度, 恢復新車般清澈 | Restores aged and yellowed headlights, improves light transmittance, restores clarity",308,,4/5/2026 15:15,4/27/2026 3:34,40,TRUE,疊加保養 Add-Ons,FALSE
rev-40,RONCESVALLES GARDINER 引擎艙深層清潔,REVENUE,"高壓深層清洗引擎艙，去除油垢積碳, 完美恢復原廠清潔狀態 | High-pressure deep cleaning of engine bay, removes grease and carbon deposits, restores factory clean state",288,,4/5/2026 15:15,4/27/2026 3:34,75,TRUE,疊加保養 Add-Ons,FALSE
rev-41,RONCESVALLES KochChemie 引擎艙深層清潔,REVENUE,"採用德國 KochChemie 藥劑, 高壓深層清洗引擎艙，去除油垢積碳, 完美恢復原廠清潔狀態 | Using German KochChemie chemicals, high-pressure deep cleaning of engine bay, restores factory clean state",358,,4/5/2026 15:15,4/27/2026 3:34,75,TRUE,疊加保養 Add-Ons,FALSE
rev-42,KIPLING GARDINER 改色膜深層清潔,REVENUE,"改色膜/車衣專用深層清潔, 去除膜面污垢, 延長膜層壽命 | Deep cleaning for color change film/PPF, removes surface dirt, extends film life",358,,4/5/2026 15:15,4/27/2026 3:34,93,TRUE,疊加保養 Add-Ons,TRUE
rev-43,KIPLING KochChemie 改色膜深層清潔,REVENUE,"採用德國 KochChemie 藥劑, 改色膜/車衣專用深層清潔, 專業去漬不傷膜 | Using German KochChemie chemicals, deep cleaning for color change film/PPF, professional stain removal without damage",428,,4/5/2026 15:15,4/27/2026 3:34,93,TRUE,疊加保養 Add-Ons,TRUE
rev-44,STEELES GARDINER 全車長效殺菌塗層,REVENUE,"全車長效殺菌塗層, 提供持久抗菌保護, 守護家人健康 | Whole-car long-acting antibacterial coating, provides lasting protection, safeguards family health",788,,4/5/2026 15:15,4/27/2026 3:34,55,TRUE,疊加保養 Add-Ons,TRUE
